id,name,description,category,is_moderated,member_count,image_url,created_at
comm1,CS2 Strategies,Discuss strategies maps and competitive play for Counter-Strike 2.,Gaming,false,1520,https://i.imgur.com/HfU6eEP.jpg,2024-01-15T12:00:00Z
comm2,League of Legends Mains,For LoL enthusiasts to share champion builds meta discussions and find teammates.,Gaming,true,2340,https://i.imgur.com/gjPAvsy.jpg,2024-01-16T12:00:00Z
comm3,Minecraft Builders,Share your epic builds redstone contraptions and survival stories in Minecraft.,Gaming,false,1876,https://i.imgur.com/NQ9qpHt.jpg,2024-01-17T12:00:00Z
comm4,Fortnite Squad Finder,Find squad mates discuss strategies and share your Victory Royales.,Gaming,false,1450,https://i.imgur.com/i6VMQYx.jpg,2024-01-18T12:00:00Z
comm5,Valorant Agents,Discuss agent abilities map strategies and team compositions for Valorant.,Gaming,true,1250,https://i.imgur.com/HsDtXLF.jpg,2024-01-19T12:00:00Z
comm6,Apex Legends Players,Share your best plays legend strategies and find teammates for ranked play.,Gaming,false,980,https://i.imgur.com/p9pAmzM.jpg,2024-01-20T12:00:00Z
comm7,Elden Ring Lore Seekers,Explore the deep lore of Elden Ring and share strategies for tough bosses.,Gaming,false,876,https://i.imgur.com/wTOVBFN.jpg,2024-01-21T12:00:00Z
comm8,Genshin Impact Travelers,Discuss characters builds and the latest updates in Genshin Impact.,Gaming,true,1123,https://i.imgur.com/v1U9WCY.jpg,2024-01-22T12:00:00Z
comm9,Zelda: TOTK Explorers,Share your Tears of the Kingdom discoveries builds and gameplay tips.,Gaming,false,891,https://i.imgur.com/aNUEIMx.jpg,2024-01-23T12:00:00Z
comm10,Overwatch 2 Heroes,Discuss heroes team comps and competitive strategies for Overwatch 2.,Gaming,true,765,https://i.imgur.com/Dg6DLm4.jpg,2024-01-24T12:00:00Z
comm11,Pokémon Masters,For Pokémon fans to discuss games trading cards and competitive play.,Gaming,false,1542,https://i.imgur.com/DGhgU5G.jpg,2024-01-25T12:00:00Z
comm12,Roblox Creators,Share your Roblox creations find games to play and discuss development.,Gaming,true,2145,https://i.imgur.com/3ueFvnS.jpg,2024-01-26T12:00:00Z
comm13,Among Us Crewmates,Find games discuss strategies and share your best impostor moments.,Gaming,false,654,https://i.imgur.com/mZ4irPA.jpg,2024-01-27T12:00:00Z
comm14,Civilization Builders,Share strategies mods and stories from Civilization VI and other 4X games.,Gaming,false,432,https://i.imgur.com/pqwpSrO.jpg,2024-01-28T12:00:00Z
comm15,Final Fantasy XIV,Discuss raids jobs and glamours in FFXIV. All sprouts welcome!,Gaming,true,987,https://i.imgur.com/Y2xwyuL.jpg,2024-01-29T12:00:00Z
comm16,Attack on Titan Fans,Discuss the anime and manga share theories and fan art for Attack on Titan.,Anime,false,1876,https://i.imgur.com/Wqpno8m.jpg,2024-01-30T12:00:00Z
comm17,Naruto Shinobi,For fans of Naruto and Boruto to discuss characters jutsu and story arcs.,Anime,false,2134,https://i.imgur.com/PwKcO7Z.jpg,2024-01-31T12:00:00Z
comm18,My Hero Academia Plus Ultra,Share theories discuss episodes and celebrate the heroes of MHA.,Anime,true,1542,https://i.imgur.com/oeZSjx4.jpg,2024-02-01T12:00:00Z
comm19,Demon Slayer Corps,Discuss episodes share fan art and theorize about Demon Slayer's world.,Anime,false,1654,https://i.imgur.com/x66zYuB.jpg,2024-02-02T12:00:00Z
comm20,Jujutsu Kaisen Sorcerers,Explore cursed techniques character development and the latest episodes.,Anime,true,876,https://i.imgur.com/kUlZhtN.jpg,2024-02-03T12:00:00Z
